OG_id	n_organisms	n_essential_organisms	n_nonessential_organisms	n_genes	n_essential_genes	frac_essential	essentiality_class	rep_gene	rep_desc	essential_organisms	nonessential_organisms
OG00010	11	1	10	11	1	0.09090909090909091	variably_essential		Zn-dependent protease with chaperone function	BFirm	Burk376;Cola;Cup4G11;HerbieS;PS;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;acidovorax_3H11
OG00011	2	0	2	2	0	0.0	never_essential		Bacteriophytochrome (light-regulated signal transduction histidine kinase)		Dyella79;HerbieS
OG00012	46	11	38	58	11	0.2391304347826087	variably_essential	cyoE	protoheme IX farnesyltransferase (RefSeq)	Cola;HerbieS;Methanococcus_JJ;Pedo557;Phaeo;Ponti;Putida;RalstoniaPSI07;SyringaeB728a;SyringaeB728a_mexBdelta;acidovorax_3H11	ANA3;BFirm;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Methanococcus_S2;Miya;PV4;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaUW163;SB2B;Smeli;SynE;WCS417;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00013	44	1	44	113	1	0.022727272727272728	variably_essential	lyxK	L-xylulose kinase (NCBI)	Keio	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Marino;Miya;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00014	42	10	42	144	14	0.23809523809523808	variably_essential	ygbJ	predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain (NCBI)	BFirm;Cup4G11;Putida;RalstoniaBSBF1503;RalstoniaPSI07;RalstoniaUW163;SyringaeB728a_mexBdelta;WCS417;pseudo1_N1B4;pseudo6_N2E2	ANA3;BFirm;Burk376;Caulo;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;Dyella79;HerbieS;Keio;Korea;Koxy;MR1;Magneto;Marino;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00015	4	0	4	4	0	0.0	never_essential		Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains		BFirm;Burk376;HerbieS;Putida
OG00016	46	14	46	402	22	0.30434782608695654	variably_essential	cpxA	histidine kinase	Burk376;Dino;Dyella79;HerbieS;Magneto;Marino;PS;SB2B;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;psRCH2;pseudo1_N1B4;pseudo6_N2E2	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00017	34	1	34	122	1	0.029411764705882353	variably_essential	yiaO	tripartite ATP-independent periplasmic transporter solute receptor, DctP family	BFirm	ANA3;BFirm;Burk376;Caulo;Cola;Cup4G11;Dino;DvH;HerbieS;Kang;Keio;Koxy;MR1;Magneto;Marino;Miya;PS;PV4;Phaeo;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo5_N2C3_1;pseudo6_N2E2
OG00018	47	39	10	57	39	0.8297872340425532	variably_essential	hemB-2	porphobilinogen synthase	BFirm;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;Magneto;Marino;Methanococcus_JJ;Methanococcus_S2;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;acidovorax_3H11;azobra;psRCH2	ANA3;DdiaME23;MR1;Putida;WCS417;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00019	48	29	47	2320	138	0.6041666666666666	variably_essential	ynfL	transcriptional regulator, LysR family protein	ANA3;BFirm;Burk376;Cup4G11;Dda3937;Dino;HerbieS;Keio;Koxy;MR1;Magneto;Marino;Methanococcus_S2;PS;PV4;Phaeo;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaUW163;SB2B;Smeli;SynE;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo5_N2C3_1	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Methanococcus_JJ;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00020	37	9	37	186	9	0.24324324324324326	variably_essential	cmpB	binding-protein-dependent transport systems inner membrane component (RefSeq)	BFirm;Burk376;Dino;Magneto;Putida;SynE;WCS417;psRCH2;pseudo1_N1B4	BFirm;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;HerbieS;Keio;Koxy;Magneto;Marino;Methanococcus_JJ;Methanococcus_S2;Miya;PS;Phaeo;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00021	44	1	43	45	1	0.022727272727272728	variably_essential	ygfA	5-formyltetrahydrofolate cyclo-ligase	PS	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Miya;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00022	29	2	28	53	2	0.06896551724137931	variably_essential	proV	glycine betaine transport ATP-binding ABC transporter protein	Burk376;HerbieS	BFirm;Btheta;Burk376;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Keio;Koxy;Marino;Methanococcus_JJ;Methanococcus_S2;Miya;Phaeo;Putida;RalstoniaGMI1000;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;azobra;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00023	2	0	2	2	0	0.0	never_essential		hypothetical protein		Cup4G11;HerbieS
OG00024	48	9	48	147	9	0.1875	variably_essential	ybaW	thioesterase	BFirm;Burk376;HerbieS;Kang;Koxy;Putida;SynE;WCS417;pseudo1_N1B4	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Methanococcus_JJ;Methanococcus_S2;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00025	42	0	42	43	0	0.0	never_essential	ybbP	ABC transporter permease		ANA3;BFirm;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Marino;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00026	3	0	3	3	0	0.0	never_essential		ABC transporter substrate-binding protein		Cup4G11;HerbieS;Smeli
OG00027	46	39	33	148	90	0.8478260869565217	variably_essential	exbD	biopolymer transporter ExbD	ANA3;BFirm;Btheta;Burk376;Caulo;Cup4G11;Dda3937;Dino;DvH;Dyella79;HerbieS;Kang;Korea;MR1;Magneto;Marino;Miya;PS;PV4;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2	BFirm;Burk376;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;Magneto;PS;Pedo557;Phaeo;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;psRCH2;pseudo13_GW456_L13;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00028	25	1	24	28	1	0.04	variably_essential		Rieske 2Fe-2S family protein	psRCH2	BFirm;Burk376;Caulo;Cup4G11;Dyella79;HerbieS;Kang;Korea;Magneto;PS;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00029	10	8	2	10	8	0.8	variably_essential		membrane protein	BFirm;Burk376;Cup4G11;HerbieS;PS;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaUW163	RalstoniaPSI07;acidovorax_3H11
OG00030	43	2	43	253	2	0.046511627906976744	variably_essential	ydhF	aldo/keto reductase	Burk376;Koxy	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;Dyella79;HerbieS;Keio;Korea;Koxy;MR1;Magneto;Marino;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00031	44	10	34	44	10	0.22727272727272727	variably_essential	crcB	CrcB family protein	ANA3;BFirm;Dino;MR1;Magneto;PV4;RalstoniaBSBF1503;RalstoniaPSI07;RalstoniaUW163;SyringaeB728a_mexBdelta	Btheta;Burk376;Caulo;Cup4G11;Dda3937;Ddia6719;DdiaME23;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;Marino;Methanococcus_JJ;Methanococcus_S2;Miya;PS;Phaeo;Putida;RalstoniaGMI1000;SB2B;Smeli;SyringaeB728a;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00032	43	22	43	445	44	0.5116279069767442	variably_essential	yhcK	GntR family transcriptional regulator	ANA3;BFirm;Burk376;Cup4G11;Ddia6719;HerbieS;Koxy;MR1;Magneto;PS;Phaeo;Putida;RalstoniaGMI1000;SB2B;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;azobra;pseudo13_GW456_L13;pseudo1_N1B4;pseudo5_N2C3_1;pseudo6_N2E2	ANA3;BFirm;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Miya;PS;PV4;Pedo557;Phaeo;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00033	9	0	9	10	0	0.0	never_essential		Uncharacterized conserved protein		Cup4G11;Dda3937;Ddia6719;DdiaME23;HerbieS;Korea;Koxy;pseudo3_N2E3;pseudo5_N2C3_1
OG00034	46	15	46	496	19	0.32608695652173914	variably_essential	yjgB	NADPH:quinone reductase	BFirm;Burk376;Cup4G11;HerbieS;Putida;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00035	19	1	18	20	1	0.05263157894736842	variably_essential		ABC transporter permease	pseudo1_N1B4	BFirm;Burk376;Dda3937;Ddia6719;DdiaME23;HerbieS;Phaeo;RalstoniaBSBF1503;RalstoniaPSI07;RalstoniaUW163;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;azobra;pseudo13_GW456_L13;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00036	42	3	42	161	3	0.07142857142857142	variably_essential	nemA	N-ethylmaleimide reductase	RalstoniaGMI1000;SyringaeB728a_mexBdelta;WCS417	ANA3;BFirm;Btheta;Burk376;Caulo;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dyella79;HerbieS;Keio;Korea;Koxy;MR1;Magneto;Marino;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00037	11	2	9	11	2	0.18181818181818182	variably_essential		oxalurate catabolism protein HpxZ	Ddia6719;Koxy	BFirm;Burk376;Caulo;Dda3937;DdiaME23;HerbieS;SyringaeB728a;SyringaeB728a_mexBdelta;azobra
OG00038	45	45	0	45	45	1.0	universally_essential	ispE	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2	
OG00039	46	46	0	46	46	1.0	universally_essential	ygjD	UGMP family protein	ANA3;BFirm;Btheta;Burk376;Caulo;Cola;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Kang;Keio;Korea;Koxy;MR1;Magneto;Marino;Miya;PS;PV4;Pedo557;Phaeo;Ponti;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SynE;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2	
OG00040	15	2	13	15	2	0.13333333333333333	variably_essential		site-2 protease family protein	BFirm;Magneto	Burk376;Cup4G11;DvH;HerbieS;Korea;Miya;PS;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;acidovorax_3H11;azobra
OG00041	41	11	30	41	11	0.2682926829268293	variably_essential	cafA	ribonuclease G	Btheta;Cola;DvH;HerbieS;Miya;Pedo557;Ponti;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;azobra	ANA3;BFirm;Burk376;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;Dyella79;Kang;Keio;Koxy;MR1;Marino;PS;PV4;Phaeo;Putida;RalstoniaUW163;SB2B;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00042	38	0	38	47	0	0.0	never_essential	flgE	flagellar hook protein FlgE		ANA3;BFirm;Burk376;Caulo;Cup4G11;Dda3937;Ddia6719;DdiaME23;Dino;DvH;Dyella79;HerbieS;Keio;Korea;MR1;Magneto;Miya;PS;PV4;Phaeo;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
OG00043	5	0	5	5	0	0.0	never_essential		peptidase M48		HerbieS;Korea;Magneto;Miya;PS
OG00044	34	1	34	111	1	0.029411764705882353	variably_essential		HAMP domain-containing protein	Burk376	ANA3;BFirm;Burk376;Caulo;Cup4G11;Dda3937;Ddia6719;DdiaME23;DvH;HerbieS;Korea;MR1;Marino;Miya;PV4;Phaeo;Putida;RalstoniaBSBF1503;RalstoniaGMI1000;RalstoniaPSI07;RalstoniaUW163;SB2B;Smeli;SyringaeB728a;SyringaeB728a_mexBdelta;WCS417;acidovorax_3H11;azobra;psRCH2;pseudo13_GW456_L13;pseudo1_N1B4;pseudo3_N2E3;pseudo5_N2C3_1;pseudo6_N2E2
